tool_id	catalog_tool_id	context	level	status	auroc	aupr	f1_at_truth_count	epr_at_truth_count	n_truth_edges	n_predicted_edges	reason
kscreni_group_aggregated	kscreni	group:pop_4_5	signed	not_applicable					138	0	inferred network is not signed
scmtni_group_native	scmtni	group:pop_4_5	signed	not_applicable					138	0	inferred network is not signed
scregulate_group_native	scregulate	group:pop_4_5	signed	ok	0.69916689920378	0.07574175601831594	0.1956521739130435	63.37429111531191	138	420	
simic_group_native	simic	group:pop_4_5	signed	ok	0.7487614552985614	0.051377776032730166	0.09420289855072464	30.51354757403907	138	864	
clr_group_emulated	clr	group:pop_5_2	signed	not_applicable					140	0	inferred network is not directed
genie3_group_emulated	genie3	group:pop_5_2	signed	not_applicable					140	0	inferred network is not signed
grnboost2_group_emulated	grnboost2	group:pop_5_2	signed	not_applicable					140	0	inferred network is not signed
inferelator3_group_native	inferelator3	group:pop_5_2	signed	ok	0.6908166356758143	0.0431293737688664	0.09285714285714286	29.647959183673468	140	542	
kscreni_group_aggregated	kscreni	group:pop_5_2	signed	not_applicable					140	0	inferred network is not signed
scmtni_group_native	scmtni	group:pop_5_2	signed	not_applicable					140	0	inferred network is not signed
scregulate_group_native	scregulate	group:pop_5_2	signed	ok	0.7070071652987946	0.08143772622295102	0.21428571428571427	68.41836734693877	140	420	
simic_group_native	simic	group:pop_5_2	signed	ok	0.7914218389330597	0.061439382561824435	0.09285714285714286	29.647959183673468	140	864	
clr_group_emulated	clr	group:pop_5_3	signed	not_applicable					140	0	inferred network is not directed
genie3_group_emulated	genie3	group:pop_5_3	signed	not_applicable					140	0	inferred network is not signed
grnboost2_group_emulated	grnboost2	group:pop_5_3	signed	not_applicable					140	0	inferred network is not signed
inferelator3_group_native	inferelator3	group:pop_5_3	signed	ok	0.7367782604513978	0.05139099448341227	0.08571428571428572	27.36734693877551	140	576	
kscreni_group_aggregated	kscreni	group:pop_5_3	signed	not_applicable					140	0	inferred network is not signed
scmtni_group_native	scmtni	group:pop_5_3	signed	not_applicable					140	0	inferred network is not signed
scregulate_group_native	scregulate	group:pop_5_3	signed	ok	0.7105605604001026	0.0826103209699686	0.21428571428571427	68.41836734693877	140	420	
simic_group_native	simic	group:pop_5_3	signed	ok	0.8022636413182868	0.06701329466087995	0.1	31.928571428571427	140	864	
clr_group_emulated	clr	group:pop_4_1	topology	ok	0.5055575700802788	0.014381934668800916	0.013888888888888888	1.0778356481481481	144	3854	
genie3_group_emulated	genie3	group:pop_4_1	topology	ok	0.9693175293868794	0.19036390180676396	0.2013888888888889	15.628616898148149	144	879	
grnboost2_group_emulated	grnboost2	group:pop_4_1	topology	ok	0.9651839764703513	0.15190808097354505	0.1388888888888889	10.778356481481483	144	879	
inferelator3_group_native	inferelator3	group:pop_4_1	topology	ok	0.9195760810443296	0.1924191997712739	0.2222222222222222	17.24537037037037	144	796	
kscreni_group_aggregated	kscreni	group:pop_4_1	topology	ok	0.4907640336828534	0.013663231958286004	0.020833333333333332	1.616753472222222	144	11135	
scmtni_group_native	scmtni	group:pop_4_1	topology	ok	0.8814867696088801	0.6899521635964087	0.7638888888888888	59.280960648148145	144	118	
scregulate_group_native	scregulate	group:pop_4_1	topology	ok	0.922095810795838	0.2859272840720455	0.3680555555555556	28.562644675925927	144	420	
simic_group_native	simic	group:pop_4_1	topology	ok	0.9700270198128507	0.19380093452520286	0.1875	14.55078125	144	864	
clr_group_emulated	clr	group:pop_4_5	topology	ok	0.508203302987448	0.012432295025715153	0.0	0.0	138	4116	
genie3_group_emulated	genie3	group:pop_4_5	topology	ok	0.967993363561039	0.18256817767686148	0.16666666666666666	13.496376811594203	138	867	
grnboost2_group_emulated	grnboost2	group:pop_4_5	topology	ok	0.9652877081437536	0.17629524029053797	0.18115942028985507	14.66997479521109	138	867	
inferelator3_group_native	inferelator3	group:pop_4_5	topology	ok	0.9541781727601362	0.17030480132017367	0.21014492753623187	17.017170762444863	138	853	
kscreni_group_aggregated	kscreni	group:pop_4_5	topology	ok	0.5326894516862254	0.014827615667546012	0.014492753623188406	1.1735979836168873	138	11033	
scmtni_group_native	scmtni	group:pop_4_5	topology	ok	0.8943757033325324	0.6950194096768069	0.7898550724637681	63.96109010712035	138	118	
scregulate_group_native	scregulate	group:pop_4_5	topology	ok	0.8860276303816018	0.23243562933383496	0.3115942028985507	25.232356647763076	138	420	
simic_group_native	simic	group:pop_4_5	topology	ok	0.9669438633949311	0.16249350445538915	0.16666666666666666	13.496376811594203	138	864	
clr_group_emulated	clr	group:pop_5_2	topology	ok	0.4871739271150236	0.012597437493889092	0.007142857142857143	0.5701530612244897	140	3898	
genie3_group_emulated	genie3	group:pop_5_2	topology	ok	0.9696291022072626	0.18821775957205475	0.17857142857142858	14.253826530612244	140	877	
grnboost2_group_emulated	grnboost2	group:pop_5_2	topology	ok	0.9691332772347725	0.19362339099002315	0.18571428571428572	14.823979591836734	140	879	
